batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
V Kohli,14059,12488.128187402875,15363,10614.908959292445,344.4091040707555
AB de Villiers,9435,7548.484397334503,9488,6416.2117377343275,301.87882622656724
RG Sharma,10948,9941.23231287273,12067,8450.04746594182,249.79525340581804
V Sehwag,5692,4025.6093494335246,5584,3421.7679470184958,227.02320529815043
KC Sangakkara,11618,11279.274182548243,14634,9587.383055166007,203.06169448339932
TM Dilshan,9212,8600.067377787433,10777,7310.057271119317,190.19427288806827
Shahid Afridi,3913,2384.3308502550585,2987,2026.6812227167998,188.63187772832003
Q de Kock,6661,5623.02318813433,7024,4779.56970991418,188.143029008582
JC Buttler,5232,3977.792747736831,4607,3381.1238355763066,185.08761644236932
DA Warner,6623,5683.147247758774,6974,4830.675160594958,179.23248394050424
AC Gilchrist,4355,3030.7293782133743,4260,2576.119971481368,177.8880028518632
S Dhawan,6733,5908.0571118629,7524,5021.848545083464,171.11514549165358
EJG Morgan,6953,6182.613704310169,7767,5255.2216486636435,169.77783513363565
CH Gayle,6433,5616.019059053999,7434,4773.616200195899,165.93837998041008
Yuvraj Singh,6868,6184.44410919672,8037,5256.777492817212,161.1222507182788
BB McCullum,5157,4172.066812953147,5457,3546.2567910101748,161.07432089898253
MS Dhoni,10274,10325.037943344112,12090,8776.282251842495,149.77177481575055
JJ Roy,4237,3235.2619732488015,4116,2749.9726772614813,148.70273227385186
ST Jayasuriya,4402,3457.3188385807343,4778,2938.721012793624,146.3278987206376
SR Tendulkar,6432,5861.354306200965,7607,4982.15116027082,144.98488397291803
HM Amla,7834,7517.219596504052,9058,6389.636657028444,144.43633429715564
GJ Maxwell,3695,2648.2437955648757,3054,2251.007226230144,144.3992773769856
DPMD Jayawardene,8040,7762.534964561798,10232,6598.154719877528,144.1845280122472
RT Ponting,6979,6546.554979568167,8658,5564.571732632942,141.44282673670577
MJ Guptill,7125,6723.173308146291,8358,5714.697311924347,141.03026880756534
SK Raina,5585,4940.343413942979,6147,4199.291901851532,138.57080981484677
JE Root,6878,6475.8997377915875,8007,5504.514777122849,137.34852228771507
SR Watson,5357,4700.871779415438,5949,3995.7410125031224,136.12589874968776
Shakib Al Hasan,6638,6263.843917911443,8133,5324.267330224727,131.37326697752732
JM Bairstow,3671,2830.310128155364,3682,2405.7636089320595,126.52363910679405
LRPL Taylor,8126,8108.776447843367,10040,6892.459980666862,123.3540019333138
Shoaib Malik,5981,5610.057222786838,7309,4768.5486393688125,121.24513606311875
DA Miller,4573,3983.4298523785747,4510,3385.915374521788,118.70846254782118
F du Plessis,5445,5028.092905102684,6288,4273.878969337282,117.11210306627181
Babar Azam,5937,5608.622686890382,6864,4767.329283856825,116.9670716143175
KS Williamson,7124,7028.774302728935,8824,5974.458157319595,114.95418426804054
Mushfiqur Rahim,7096,7089.1194393906535,8993,6025.751523482056,107.02484765179443
G Gambhir,4981,4614.463835660937,5933,3922.294260311796,105.87057396882042
GC Smith,5280,4994.042229295906,6613,4244.9358949015195,103.50641050984805
SC Williams,4274,3824.088898650106,4903,3250.47556385259,102.35244361474102
KP Pietersen,4202,3770.117889064185,4990,3204.600205704557,99.73997942954429
SPD Smith,5668,5516.308813384783,6653,4688.862491377065,97.91375086229345
HH Gibbs,3766,3284.790282120555,4434,2792.0717398024717,97.39282601975283
BKG Mendis,3958,3548.917472663147,4648,3016.5798517636745,94.14201482363255
Fakhar Zaman,3593,3123.9319129113533,3877,2655.34212597465,93.76578740253498
AJ Finch,5188,5002.103321799717,6135,4251.787823529759,93.62121764702405
MJ Clarke,6988,7159.883737797953,9095,6085.901177128259,90.20988228717405
A Symonds,3589,3162.0636111372187,4047,2687.754069466636,90.12459305333641
Tamim Iqbal,7648,7949.607805411108,9979,6757.166634599442,89.08333654005583
TM Head,2708,2146.484113389979,2649,1824.5114963814822,88.34885036185179
S Mandhana,3790,3434.810922073435,4303,2919.5892837624197,87.04107162375803
MDKJ Perera,3077,2611.1496873082256,3375,2219.477234211992,85.75227657880082
ML Hayden,3939,3631.6266212106666,4956,3086.8826280290664,85.21173719709336
BA Stokes,3469,3084.900535346111,3701,2622.1654550441945,84.68345449558055
H Klaasen,2131,1522.230606128796,1839,1293.8960152094764,83.71039847905236
Mohammad Hafeez,6351,6488.402080679756,8347,5515.141768577792,83.58582314222076
AJ Healy,2759,2277.708503169777,2897,1936.0522276943104,82.29477723056895
MM Lanning,3555,3234.430537044694,3985,2749.26595648799,80.57340435120099
MEK Hussey,5076,5025.259854883921,6012,4271.470876651333,80.45291233486668
SS Iyer,2820,2390.094393253624,2905,2031.5802342655802,78.84197657344198
NLTC Perera,2233,1726.2045766178267,2045,1467.2738901251525,76.57261098748475
NR Sciver,2668,2245.530100077188,2842,1908.7005850656096,75.92994149343903
PR Stirling,3548,3283.4890573586717,4148,2790.965698754871,75.70343012451289
Shubman Gill,2775,2377.0985872854144,2863,2020.5337991926021,75.44662008073979
IR Bell,5289,5336.283342386797,6997,4535.8408410287775,75.31591589712225
TWM Latham,4280,4173.262608867239,5128,3547.273217537153,73.2726782462847
KA Pollard,2608,2234.5167219794566,2877,1899.339213682538,70.8660786317462
AJ Strauss,3729,3567.3142028445395,4732,3032.2170724178586,69.67829275821414
Sikandar Raza,3511,3334.860522889683,4084,2834.6314444562304,67.63685555437696
Younis Khan,4777,4826.682484250761,6411,4102.680111613147,67.43198883868527
MR Marsh,2762,2459.4477895980667,2953,2090.5306211583566,67.14693788416434
SB Styris,3184,2958.391836781403,3970,2514.6330612641927,66.93669387358072
BRM Taylor,5130,5254.712691671448,6929,4466.505787920731,66.34942120792694
AK Markram,2202,1817.6422727993834,2304,1544.9959318794758,65.70040681205242
JP Duminy,4928,5051.240133134829,5986,4293.554113164605,63.44458868353949
AD Hales,2330,1998.302181610277,2483,1698.5568543687355,63.14431456312646
SFM Devine,2796,2547.5779214098366,3194,2165.441233198361,63.05587668016392
JH Kallis,4929,5074.238976796429,6548,4313.103130276964,61.58968697230357
WU Tharanga,6482,6901.504856699062,8845,5866.279128194203,61.57208718057973
MM Ali,2278,1964.3174301776994,2418,1669.6698156510445,60.83301843489555
Soumya Sarkar,2044,1689.1015887531296,2150,1435.73635044016,60.82636495598399
Kamran Akmal,2746,2517.6436588269853,3374,2139.9971100029375,60.60028899970625
A Flintoff,2096,1759.7822998902095,2366,1495.814954906678,60.0185045093322
Umar Akmal,3032,2870.0582696358324,3626,2439.5495291904576,59.24504708095424
HH Pandya,1897,1536.3111866099857,1755,1305.864508618488,59.113549138151214
SD Hope,5218,5449.473154430621,6615,4632.052181266028,58.59478187339719
MV Boucher,2617,2396.899440687041,2961,2037.3645245839848,57.96354754160152
AD Mathews,5646,5963.811622988753,6934,5069.23987954044,57.67601204595603
DJG Sammy,1853,1504.8655982082896,1926,1279.1357584770462,57.386424152295376
KJ O'Brien,1990,1673.8078655493932,2151,1422.7366857169843,56.72633142830157
JO Holder,2144,1855.0090295291452,2431,1576.7576750997735,56.72423249002266
CL Tryon,1681,1314.4175098681342,1545,1117.254883387914,56.37451166120859
BJ Haddin,3003,2875.675761830639,3648,2444.324397556043,55.86756024439569
HG Munsey,2267,2011.6636184094816,2532,1709.9140756480592,55.70859243519408
MN Samuels,4205,4304.095149468581,5654,3658.480877048294,54.65191229517059
AE Jones,2322,2092.799089566049,2705,1778.8792261311416,54.31207738688583
PD Collingwood,4132,4231.816795565415,5497,3597.044276230603,53.495572376939705
N Pooran,1829,1523.9329576430205,1913,1295.3430139965674,53.365698600343265
L Ronchi,1397,1018.0147036459804,1241,865.3124980990833,53.16875019009167
GJ Bailey,3011,2921.885774761497,3672,2483.6029085472724,52.73970914527276
MA Leask,1469,1115.8568191986817,1311,948.4782963188794,52.05217036811206
Abdul Razzaq,2327,2128.677314608642,2689,1809.3757174173456,51.76242825826544
SO Hetmyer,1414,1057.2226600701563,1339,898.6392610596328,51.536073894036726
AD Russell,1034,613.6018745805997,805,521.5615933935097,51.24384066064903
DJ Mitchell,2040,1816.1380427673264,2192,1543.7173363522274,49.628266364777254
L Lee,2516,2376.1799851876144,3044,2019.752987409472,49.62470125905279
KL Rahul,2953,2898.871436414592,3393,2464.0407209524033,48.895927904759674
AE Satterthwaite,2895,2830.8944287331906,3618,2406.260264423212,48.8739735576788
Liton Das,2178,2000.7372540479662,2583,1700.6266659407713,47.73733340592287
RR Sarwan,3717,3816.184447618028,5143,3243.756780475324,47.324321952467606
N Dickwella,1604,1334.4236833076807,1758,1134.2601308115286,46.97398691884714
