batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
S Mandhana,3790,3121.6121559232242,4303,2653.3703325347406,113.66296674652594
MM Lanning,3555,2883.3819387772514,3985,2450.874647960664,110.41253520393361
AJ Healy,2759,2032.7568813945356,2897,1727.8433491853552,103.11566508146447
NR Sciver,2668,2016.9084414045951,2842,1714.3721751939058,95.36278248060941
SFM Devine,2796,2264.3336134872593,3194,1924.6835714641704,87.13164285358296
TT Beaumont,4149,3977.6520587151713,5490,3381.0042499078954,76.79957500921046
SW Bates,3303,2995.7673924045394,4361,2546.402283543858,75.65977164561419
AE Satterthwaite,2895,2530.6655200632927,3618,2151.0656920537986,74.39343079462014
L Lee,2516,2089.8193689903514,3044,1776.3464636417987,73.96535363582014
AE Jones,2322,1895.4523105100766,2705,1611.134463933565,71.08655360664349
HC Knight,3158,2892.3824941537364,4205,2458.5251200306757,69.94748799693244
CL Tryon,1681,1168.3557064458407,1545,993.1023504789646,68.78976495210354
AC Jayangani,2924,2713.91333118932,3792,2306.826331510922,61.717366848907794
EA Perry,3356,3230.616134508736,4290,2746.0237143324257,60.99762856675743
BL Mooney,2433,2145.389076852116,2872,1823.5807153242986,60.94192846757014
DN Wyatt,1680,1283.059964327079,1851,1090.600969678017,58.9399030321983
M Kapp,2261,1986.6060764944407,2646,1688.6151650202746,57.23848349797254
HK Matthews,2719,2539.8858099165914,3478,2158.9029384291025,56.00970615708975
SJ Taylor,1651,1303.800051233673,1932,1108.230043548622,54.2769956451378
H Kaur,2730,2614.2997659346174,3449,2222.154801044425,50.784519895557516
L Wolvaardt,4208,4374.798090206552,5916,3718.578376675569,48.942162332443104
A Gardner,1175,840.9100147969862,1168,714.7735125774382,46.02264874225618
DJS Dottin,1679,1438.961206779611,2070,1223.1170257626693,45.58829742373307
RL Haynes,1966,1783.4820306175488,2485,1515.9597260249166,45.004027397508345
AC Kerr,1854,1764.0608475369952,2473,1499.451720406446,35.454827959355406
JI Rodrigues,1296,1125.0133228229327,1507,956.2613243994928,33.97386756005072
M Raj,2949,3078.8577069937014,4320,2617.0290509446463,33.197094905535366
NR Sciver-Brunt,923,717.6915531233565,948,610.037820154853,31.296217984514705
SR Taylor,2262,2338.389622902683,3354,1987.6311794672806,27.436882053271937
M du Preez,2223,2300.94282860524,3194,1955.8014043144537,26.719859568554625
KJ Martin,1161,1062.3014479708606,1536,902.9562307752315,25.804376922476855
CA Henry,758,592.7260552999049,871,503.8171470049192,25.418285299508078
A Hunter,977,863.7882851678064,1164,734.2200423926354,24.277995760736463
ML Green,1539,1526.2298026222286,2212,1297.2953322288943,24.170466777110573
RM Ghosh,800,658.3600185739141,852,559.606015787827,24.0393984212173
RH Priest,661,507.96153834864475,816,431.767307596348,22.923269240365197
NE Bolton,1443,1430.481638890871,2069,1215.9093930572403,22.70906069427597
ME Bouchier,482,313.3443990929933,466,266.3427392290443,21.56572607709557
TM McGrath,750,636.0976574690134,854,540.6830088486613,20.93169911513387
