bowler,balls,runs_conceded,wickets,runs_per_ball,replacement_runs,bowling_war
S Ecclestone,3752,2309,117,0.615405117270789,3420.1952769070017,111.11952769070017
M Kapp,2910,1964,85,0.6749140893470791,2652.656784594716,68.86567845947161
S Ismail,2617,1717,89,0.6560947649980894,2385.5679743245264,66.85679743245264
ML Schutt,2689,1810,82,0.6731126812941614,2451.200719510375,64.12007195103752
J Goswami,2222,1430,70,0.6435643564356436,2025.4994417077178,59.54994417077178
A Khaka,3157,2289,94,0.7250554323725056,2877.813563218391,58.88135632183912
Nashra Sandhu,2958,2113,82,0.7143340094658553,2696.4119480519485,58.341194805194846
DB Sharma,3712,2803,109,0.7551185344827587,3383.7326406926413,58.073264069264134
A Gardner,2492,1705,92,0.6841894060995185,2271.62223615465,56.66222361546502
HK Matthews,3101,2266,94,0.7307320219284101,2826.765872518287,56.076587251828684
KL Cross,2771,2020,91,0.7289787080476362,2525.9491237498137,50.59491237498137
Nahida Akter,2021,1343,65,0.6645225136071252,1842.274694730557,49.9274694730557
JL Jonassen,1823,1191,81,0.6533187054306089,1661.7846454694734,47.07846454694734
KH Brunt,1881,1264,51,0.6719829877724615,1714.6554679802957,45.06554679802957
RS Gayakwad,1906,1288,52,0.6757607555089192,1737.444615614271,44.944461561427104
A Shrubsole,1904,1306,60,0.6859243697478992,1735.621483803553,42.9621483803553
Nida Dar,2350,1738,54,0.7395744680851064,2142.179877593671,40.41798775936709
JM Kerr,1826,1262,61,0.6911281489594743,1664.5193431855503,40.25193431855503
Sadia Iqbal,1336,819,41,0.6130239520958084,1217.852049559636,39.8852049559636
AC Kerr,3174,2495,80,0.7860743541272842,2893.3101836094943,39.83101836094943
D van Niekerk,962,526,18,0.5467775467775468,876.9264009553666,35.09264009553666
ASS Fletcher,2368,1822,78,0.7694256756756757,2158.588063890133,33.65880638901331
Poonam Yadav,1838,1343,46,0.7306855277475517,1675.4581340498585,33.245813404985846
Rabeya Khan,1183,752,32,0.6356720202874049,1078.3824660397077,32.638246603970764
CE Dean,2048,1553,74,0.75830078125,1866.8869741752503,31.38869741752503
EA Perry,1547,1098,42,0.7097608274078863,1410.1924555903868,31.219245559038676
G Wareham,1618,1172,47,0.7243510506798516,1474.9136348708764,30.291363487087644
KJ Garth,948,562,35,0.5928270042194093,864.1644782803405,30.216447828034052
A King,1480,1055,62,0.7128378378378378,1349.1175399313333,29.411753993133335
SC Selman,1235,841,31,0.6809716599190283,1125.783893118376,28.4783893118376
Diana Baig,2056,1606,44,0.7811284046692607,1874.1795014181223,26.81795014181223
Sana Mir,860,520,37,0.6046511627906976,783.9466786087477,26.39466786087477
NR Sciver,1735,1325,38,0.7636887608069164,1581.5668457978804,25.656684579788042
LMM Tahuhu,2079,1639,64,0.7883597883597884,1895.1455172413796,25.61455172413796
SS Connell,1828,1415,39,0.774070021881838,1666.3424749962683,25.134247499626827
K Ramharack,1753,1348,46,0.768967484312607,1597.9750320943426,24.997503209434264
SFM Devine,2096,1663,50,0.7934160305343512,1910.6421376324827,24.764213763248268
IJR Zwilling,722,415,29,0.574792243767313,658.1505836692045,24.315058366920447
CL Tryon,1677,1287,41,0.7674418604651163,1528.696023287058,24.16960232870581
LM Kasperek,1197,853,40,0.7126148705096074,1091.1443887147336,23.814438871473364
Anam Amin,902,588,26,0.6518847006651884,822.232446633826,23.423244663382604
S Luus,1474,1113,43,0.7550881953867028,1343.6481444991791,23.06481444991791
HM Rowe,1867,1478,53,0.791644349223353,1701.8935453052698,22.389354530526976
J Nkomo,714,431,25,0.603641456582633,650.8580564263324,21.985805642633238
S Molineux,613,339,23,0.5530179445350734,558.7898999850725,21.978989998507245
T Putthawong,711,443,28,0.6230661040787623,648.1233587102554,20.512335871025538
R Ntozakhe,698,433,18,0.6203438395415473,636.2730019405882,20.327300194058818
K Ndlovu,490,253,17,0.5163265306122449,446.6672936259144,19.36672936259144
S Pandey,1035,750,31,0.7246376811594203,943.4707120465742,19.347071204657425
N Mlaba,1675,1337,38,0.7982089552238806,1526.8728914763399,18.987289147633987
A Sutherland,1248,954,41,0.7644230769230769,1137.634249888043,18.363424988804308
Sultana Khatun,761,511,20,0.671484888304862,693.7016539782059,18.270165397820584
FC Jonas,1144,861,21,0.7526223776223776,1042.8313957307062,18.183139573070616
A Canning,815,563,15,0.69079754601227,742.9262128675923,17.99262128675923
A Mohammed,1167,884,35,0.7574978577549272,1063.7974115539635,17.979741155396347
Fahima Khatun,1246,957,32,0.7680577849117175,1135.811118077325,17.88111180773251
NJ Carey,754,511,20,0.6777188328912467,687.3206926406928,17.632069264069276
