bowler,balls,runs_conceded,wickets,runs_per_ball,replacement_runs,bowling_war
BM Scholtz,3073,1707,92,0.5554832411324439,3134.374554121152,142.7374554121152
MRJ Watt,3590,2530,98,0.7047353760445683,3661.700178748759,113.17001787487588
SN Netravalkar,3051,2042,96,0.669288757784333,3111.9351658391265,106.99351658391265
JJ Bumrah,3720,2846,126,0.7650537634408602,3794.2965640516386,94.82965640516386
Kuldeep Yadav,5392,4562,175,0.8460682492581603,5499.690073485601,93.76900734856008
M Muralitharan,2177,1313,65,0.6031235645383556,2220.4794677259188,90.74794677259187
MJ Santner,3832,3012,83,0.7860125260960334,3908.533449851043,89.65334498510428
NP Kenjige,2760,1950,60,0.7065217391304348,2815.123257199603,86.51232571996029
S Lamichhane,3186,2389,126,0.7498430634023855,3249.631412115194,86.06314121151941
SM Pollock,2184,1371,55,0.6277472527472527,2227.6192730883813,85.66192730883813
Rohan Mustafa,3029,2272,76,0.7500825354902608,3089.4957775571006,81.74957775571006
Mehedi Hasan Miraz,4125,3412,101,0.8271515151515152,4207.385302879841,79.53853028798412
B Lee,2753,2037,99,0.7399200871776244,2807.9834518371404,77.09834518371403
RA Jadeja,3232,2554,78,0.7902227722772277,3296.5501330685206,74.25501330685206
DL Vettori,1927,1233,53,0.6398546964193046,1965.4864190665344,73.24864190665343
Shakib Al Hasan,3037,2378,73,0.7830095488969377,3097.655555114201,71.96555551142009
GD McGrath,1680,1007,49,0.5994047619047619,1713.5532869910626,70.65532869910626
Shoaib Malik,2466,1813,66,0.735198702351987,2515.251431976167,70.22514319761672
JN Gillespie,2013,1364,59,0.6775956284153005,2053.204027805363,68.92040278053628
Harbhajan Singh,1996,1354,47,0.6783567134268537,2035.8645004965244,68.18645004965245
DS Airee,1987,1346,48,0.6774031202818319,2026.6847507447867,68.06847507447867
Zeeshan Maqsood,2145,1520,56,0.7086247086247086,2187.8403574975173,66.78403574975172
WPUJC Vaas,1987,1360,51,0.6844489179667841,2026.6847507447867,66.66847507447866
Aayan Afzal Khan,1990,1381,50,0.6939698492462312,2029.7446673286993,64.87446673286993
TA Boult,3447,2870,127,0.832608064984044,3515.844154915591,64.5844154915591
Sikandar Raza,2934,2348,59,0.8002726653033402,2992.5984190665345,64.45984190665345
A Flintoff,1854,1249,60,0.6736785329018339,1891.0284488579941,64.20284488579941
CA Soper,2229,1646,57,0.7384477344100493,2273.5180218470705,62.751802184707046
Ahmed Raza,1991,1414,50,0.7101958814665997,2030.7646395233367,61.67646395233366
Kaleemullah,2037,1469,45,0.7211585665193913,2077.6833604766634,60.86833604766635
SM Sharif,2861,2313,83,0.8084585809157637,2918.140448857994,60.51404488579942
JR Hazlewood,2789,2243,78,0.8042309071351739,2844.7024508440913,60.17024508440913
AR McBrine,2700,2153,56,0.7974074074074075,2753.924925521351,60.092492552135084
A Vala,1737,1173,38,0.6753022452504318,1771.6917020854023,59.86917020854023
