batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
V Kohli,14059,12791.637482708955,15363,10872.89186030261,318.61081396973896
AB de Villiers,9435,7668.069104018044,9488,6517.858738415337,291.7141261584663
V Sehwag,5692,4044.631254974149,5584,3437.9365667280267,225.40634332719733
RG Sharma,10948,10274.853144777928,12067,8733.625173061238,221.43748269387615
KC Sangakkara,11618,11338.44530306013,14634,9637.678507601111,198.0321492398889
Shahid Afridi,3913,2414.618261670408,2987,2052.425522419847,186.05744775801531
TM Dilshan,9212,8731.673334312356,10777,7421.922334165502,179.00776658344975
AC Gilchrist,4355,3038.624541467238,4260,2582.8308602471525,177.21691397528474
JC Buttler,5232,4110.653759496261,4607,3494.0556955718216,173.79443044281783
Q de Kock,6661,5864.772630271042,7024,4985.056735730385,167.59432642696146
DA Warner,6623,5889.783484436969,6974,5006.315961771424,161.66840382285764
CH Gayle,6433,5694.720248319169,7434,4840.512211071293,159.24877889287072
Yuvraj Singh,6868,6218.65135978217,8037,5285.853655814844,158.21463441851557
BB McCullum,5157,4224.296658015196,5457,3590.6521593129164,156.63478406870837
EJG Morgan,6953,6340.491750679817,7767,5389.417988077845,156.35820119221552
S Dhawan,6733,6159.424200072451,7524,5235.510570061583,149.7489429938417
ST Jayasuriya,4402,3482.455571935348,4778,2960.0872361450456,144.19127638549543
RT Ponting,6979,6529.7368723390755,8658,5550.276341488214,142.8723658511786
SR Tendulkar,6432,5902.655296047457,7607,5017.257001640339,141.47429983596612
DPMD Jayawardene,8040,7804.078307402997,10232,6633.466561292547,140.65334387074526
GJ Maxwell,3695,2733.888766666062,3054,2323.8054516661527,137.11945483338474
JJ Roy,4237,3379.8646131407304,4116,2872.8849211696206,136.41150788303793
MS Dhoni,10274,10502.897596259116,12090,8927.462956820249,134.6537043179751
SK Raina,5585,4989.149930725877,6147,4240.777441116996,134.4222558883004
SR Watson,5357,4744.989429130928,5949,4033.241014761289,132.3758985238711
HM Amla,7834,7729.671081204078,9058,6570.220419023466,126.37795809765339
MJ Guptill,7125,6899.207243965714,8358,5864.326157370857,126.06738426291432
Shakib Al Hasan,6638,6394.096886434249,8133,5434.982353469112,120.30176465308878
JE Root,6878,6706.725009531994,8007,5700.716258102195,117.72837418978051
JM Bairstow,3671,2960.4226879924263,3682,2516.3592847935624,115.46407152064376
Shoaib Malik,5981,5699.739522989387,7309,4844.778594540979,113.62214054590213
DA Miller,4573,4108.49778889874,4510,3492.2231205639287,108.07768794360713
LRPL Taylor,8126,8298.017466743979,10040,7053.314846732382,107.26851532676183
G Gambhir,4981,4646.758214553088,5933,3949.7444823701244,103.12555176298756
F du Plessis,5445,5194.696588563911,6288,4415.492100279324,102.95078997206755
GC Smith,5280,5030.001983689686,6613,4275.501686136233,100.44983138637672
KP Pietersen,4202,3783.3001863947675,4990,3215.805158435552,98.61948415644478
Babar Azam,5937,5836.629008735483,6864,4961.13465742516,97.58653425748398
KS Williamson,7124,7233.363389052778,8824,6148.358880694861,97.5641119305139
HH Gibbs,3766,3295.2492967771036,4434,2800.961902260538,96.5038097739462
SC Williams,4274,3921.3833336541134,4903,3333.175833605996,94.08241663940039
Mushfiqur Rahim,7096,7270.658954663643,8993,6180.060111464097,91.59398885359033
A Symonds,3589,3162.2104665984325,4047,2687.8788966086677,90.11211033913324
MJ Clarke,6988,7183.11067006243,9095,6105.644069553065,88.23559304469354
SPD Smith,5668,5686.340900963013,6653,4833.3897658185615,83.46102341814385
ML Hayden,3939,3655.6104449413397,4956,3107.2688782001387,83.17311217998613
Fakhar Zaman,3593,3268.241632815962,3877,2778.005387893568,81.49946121064322
BKG Mendis,3958,3704.3184099735718,4648,3148.670648477536,80.93293515224642
H Klaasen,2131,1570.2469568563115,1839,1334.7099133278648,79.62900866721353
TM Head,2708,2251.3786673014292,2649,1913.6718672062148,79.43281327937852
MEK Hussey,5076,5044.230047439442,6012,4287.595540323526,78.84044596764743
AJ Finch,5188,5188.1330034692855,6135,4409.913052948893,77.8086947051107
MDKJ Perera,3077,2710.934360988218,3375,2304.2942068399852,77.27057931600147
BA Stokes,3469,3211.571813801552,3701,2729.836041731319,73.91639582686813
SS Iyer,2820,2459.458108710347,2905,2090.539392403795,72.94606075962051
Mohammad Hafeez,6351,6628.507188953665,8347,5634.231110610615,71.67688893893846
